member_id,full_name,first_name,last_name,constituency_name,party
5302,Noah Law,Noah,Law,St Austell and Newquay,Labour
4923,Kim Leadbeater,Kim,Leadbeater,Spen Valley,Labour
5277,Graham Leadbitter,Graham,Leadbitter,"Moray West, Nairn and Strathspey",Scottish National Party
345,Sir Edward Leigh,Edward,Leigh,Gainsborough,Conservative
5196,Brian Leishman,Brian,Leishman,Alloa and Grangemouth,Independent
4277,Emma Lewell,Emma,Lewell,South Shields,Labour
5061,Andrew Lewin,Andrew,Lewin,Welwyn Hatfield,Labour
4500,Clive Lewis,Clive,Lewis,Norwich South,Labour
54,Sir Julian Lewis,Julian,Lewis,New Forest East,Conservative
4943,Simon Lightwood,Simon,Lightwood,Wakefield and Rothwell,Labour (Co-op)
4857,Carla Lockhart,Carla,Lockhart,Upper Bann,Democratic Unionist Party
5280,Seamus Logan,Seamus,Logan,Aberdeenshire North and Moray East,Scottish National Party
4396,Rebecca Long Bailey,Rebecca,Long Bailey,Salford,Labour
4647,Julia Lopez,Julia,Lopez,Hornchurch and Upminster,Conservative
5158,Rupert Lowe,Rupert,Lowe,Great Yarmouth,Independent
5033,Josh MacAlister,Josh,MacAlister,Whitehaven and Workington,Labour
5265,James MacCleary,James,MacCleary,Lewes,Liberal Democrat
5133,Alice Macdonald,Alice,Macdonald,Norwich North,Labour (Co-op)
5362,Mr Angus MacDonald,Angus,MacDonald,"Inverness, Skye and West Ross-shire",Liberal Democrat
5134,Andy MacNae,Andy,MacNae,Rossendale and Darwen,Labour
4418,Justin Madders,Justin,Madders,Ellesmere Port and Bromborough,Labour
5350,Ben Maguire,Ben,Maguire,North Cornwall,Liberal Democrat
5336,Helen Maguire,Helen,Maguire,Epsom and Ewell,Liberal Democrat
3914,Shabana Mahmood,Shabana,Mahmood,Birmingham Ladywood,Labour
4484,Alan Mak,Alan,Mak,Havant,Conservative
4253,Seema Malhotra,Seema,Malhotra,Feltham and Heston,Labour (Co-op)
5153,Mr Cathal Mallaghan,Cathal,Mallaghan,Mid Ulster,Sinn Féin
4495,Kit Malthouse,Kit,Malthouse,North West Hampshire,Conservative
5294,Amanda Martin,Amanda,Martin,Portsmouth North,Labour
5219,Mike Martin,Mike,Martin,Tunbridge Wells,Liberal Democrat
